word,logfreq,wlen
inform,-5.0841227,6
down,-3.2032485,4
past,-3.4970559999999997,4
pour,-5.325419999999999,4
pastor,-5.063256,6
surprising,-4.668063,10
guest,-4.716621,5
concentrate,-4.9928784,11
widespread,-4.475169999999999,10
trim,-5.174199,4
senator,-4.3931613,7
evolve,-5.4619904,6
typical,-4.62325,7
neighbor,-4.846164,8
grant,-4.654017,5
implement,-4.8217635,9
protective,-5.051286,10
prescription,-4.795866999999999,12
principal,-4.58744,9
funeral,-4.656301999999999,7
plain,-4.9448360000000005,5
source,-4.1142125,6
self,-4.9764040000000005,4
hotel,-4.089616,5
launch,-4.112329,6
helicopter,-4.512493,10
quarterback,-4.5529394,11
ugly,-5.005025,4
system,-3.5229247000000004,6
industrial,-4.238633999999999,10
terribly,-5.344821499999999,8
restrict,-5.112968,8
midst,-5.0350175,5
flower,-5.2239474999999995,6
troubled,-4.4707766,8
previously,-4.1060314,10
Greek,-4.6537967,5
heavy,-4.172557,5
symbol,-4.7859917,6
fourth,-3.8617449,6
print,-4.449330000000001,5
mother,-3.8249313999999996,6
representative,-4.6278863,14
other,-2.9485626,5
ought,-4.9446926,5
establishment,-4.80545,13
gym,-4.9618244,3
shadow,-4.693069,6
ambition,-4.9979887000000005,8
sibling,-5.5272974999999995,7
confuse,-5.622262999999999,7
necessity,-5.2638717,9
soccer,-4.8220882000000005,6
basis,-4.194689,5
gate,-4.9607306,4
payment,-4.457514,7
role,-3.7861557,4
moon,-4.776758999999999,4
client,-4.494813,6
shirt,-4.818423,5
premise,-5.3880267,7
rescue,-4.2158065,6
glimpse,-5.069399,7
beach,-4.5330699999999995,5
kick,-4.5709995999999995,4
exhibition,-4.5524926,10
shell,-5.142883,5
poverty,-4.514869999999999,7
bulb,-5.692044,4
liver,-5.012737,5
weak,-4.36584,4
mortgage,-4.0451174,8
emission,-5.3289995,8
isolation,-5.063318700000001,9
execute,-5.345664,7
variable,-5.3560276,8
clearly,-4.2419614999999995,7
convict,-5.5574226,7
day,-3.3161004000000003,3
complexity,-5.193963500000001,10
pain,-4.293741000000001,4
ladder,-5.278899,6
database,-4.8257847,8
